course_id,title,units,description,prerequisites,course_level,major
DRA 124C,Principles of Theatrical Design: Lighting,4,"Learning Activities: Lecture/Lab 4 hour(s).
Enrollment Restriction(s): Upper division standing; Pass One restricted to Theatre & Dance majors.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).

DRA 124C — Principles of Theatrical Design: Lighting (4 units)
Course Description:  Theories of lighting the stage, equipment and control systems, execution of lighting plots.

Prerequisite(s): DRA 024; consent of instructor.

Learning Activities:  Lecture/Lab 4 hour(s).

Enrollment Restriction(s):  Upper division standing; Pass One restricted to Theatre & Dance majors.

Grade Mode:  Letter.

General Education:  Arts & Humanities (AH); Visual Literacy (VL).
This course version is effective from, and including:  Summer Session 1 2025.",Consent of instructor.,Upper Division,DRA
DRA 124D,Principles of Theatrical Design: Costume,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Enrollment Restriction(s): Upper division standing; Pass One restricted to Theatre & Dance majors.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Oral Skills (OL); Visual Literacy (VL).",Upper division standing or consent of instructor.,Upper Division,DRA
DRA 124E,Costume Design for Film,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Enrollment Restriction(s): Pass One restricted to Theatre & Dance majors.
Cross Listing: CTS 124E.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Oral Skills (OL); Visual Literacy (VL).",Consent of instructor.,Upper Division,DRA
DRA 125,Scenic Painting: Studio,4,"Learning Activities: Lecture 2 hour(s), Studio 1 hour(s), Laboratory 3 hour(s).
Repeat Credit: May be repeated 1 time(s) with consent of instructor.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).","DRA 024 or DRA 028; or consent of instructor. Upper division standing in Theatre  Dance, Art Studio, or Design.",Upper Division,DRA
DRA 126,Principles of Performing Arts Stage Management,4,"Learning Activities: Lecture/Discussion 3 hour(s), Laboratory 3 hour(s).
Grade Mode: Letter.",DRA 028.,Upper Division,DRA
DRA 126A,Topics in Entertainment Engineering,4,"Learning Activities: Lecture/Lab 4 hour(s).
Enrollment Restriction(s): Pass One restricted to Theatre & Dance majors.
Repeat Credit: May be repeated 3 time(s) when topic differs.
Grade Mode: Letter.
General Education: Arts & Humanities (AH).",DRA 028 C- or better; consent of instructor.,Upper Division,DRA
DRA 127A,Principles of Directing,4,"Learning Activities: Lecture 2 hour(s), Laboratory 4 hour(s).
Grade Mode: Letter.
General Education: Visual Literacy (VL).",Consent of instructor.,Upper Division,DRA
DRA 127B,Principles of Directing,4,"Learning Activities: Lecture 2 hour(s), Laboratory 4 hour(s), Rehearsal.
Grade Mode: Letter.
General Education: Visual Literacy (VL).",DRA 127A; or consent of instructor.,Upper Division,DRA
DRA 128,Principles of Theatre Sound,4,"Learning Activities: Lecture/Lab 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH).

DRA 128 — Principles of Theatre Sound (4 units)
Course Description:  Fundamentals of sound, sound equipment, and sound design as used in modern theatre and other performance venues. Assembly, set-up, and operation of basic theatre sound reinforcement system, recording system, and theatrical playback system.

Prerequisite(s): DRA 024; consent of instructor.

Learning Activities:  Lecture/Lab 4 hour(s).

Grade Mode:  Letter.

General Education:  Arts & Humanities (AH).
This course version is effective from, and including:  Summer Session 1 2025.",Consent of instructor.,Upper Division,DRA
DRA 130,Approaches to Theatrical Design: Practice & Theory,4,"Learning Activities: Seminar 2 hour(s), Studio 4 hour(s).
Repeat Credit: May be repeated 3 time(s) when topic differs; when instructor differs.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).","DRA 124A or DRA 124B or DRA 124C or DRA 124D or DRA 124E; upper division standing in Theatre  Dance, Art Studio or Design; or consent of instructor.",Upper Division,DRA
DRA 135,Voice in Performance,4,"Learning Activities: Lecture/Lab 6 hour(s).
Repeat Credit: May be repeated 3 time(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Domestic Diversity (DD).",DRA 120; or consent of instructor.,Upper Division,DRA
DRA 140A,Dance Composition,4,"Learning Activities: Lecture 3 hour(s), Laboratory 3 hour(s).
Grade Mode: Letter.
General Education: Visual Literacy (VL).",DRA 040A or DRA 041A or DRA 042A; or consent of instructor.,Upper Division,DRA
DRA 140B,Dance Composition,4,"Learning Activities: Lecture 3 hour(s), Laboratory 3 hour(s).
Grade Mode: Letter.",DRA 140A.,Upper Division,DRA
DRA 140C,Dance Composition,4,"Learning Activities: Lecture 3 hour(s), Laboratory 3 hour(s).
Grade Mode: Letter.",DRA 140A; DRA 140B.,Upper Division,DRA
DRA 141,Introduction to the Fundamentals of Movement,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Grade Mode: Letter.
General Education: Visual Literacy (VL).",N/A,Upper Division,DRA
DRA 142,History of Modern Dance,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL); Writing Experience (WE).",N/A,Upper Division,DRA
DRA 143,Dance & Movement Studio,1-4,"Learning Activities: Discussion/Laboratory 2-8 hour(s).
Repeat Credit: May be repeated 8 unit(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL).",Consent of instructor.,Upper Division,DRA
DRA 144,Introduction to Traditional Chinese Physical Culture,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH) or Social Sciences (SS).",N/A,Upper Division,DRA
DRA 144A,Introduction to Traditional Chinese Embodied Culture,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH) or Social Sciences (SS); Domestic Diversity (DD); Visual Literacy (VL); World Cultures (WC).",N/A,Upper Division,DRA
DRA 144B,Traditional Chinese Physical Culture,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Repeat Credit: May be repeated 2 time(s) when content and instructor differs and if student progression is required.
Grade Mode: Letter.
General Education: Arts & Humanities (AH) or Social Sciences (SS); Domestic Diversity (DD); Visual Literacy (VL); World Cultures (WC).",DRA 144A.,Upper Division,DRA
DRA 144C,Daoist Philosophy in Traditional Chinese Movement Culture,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Repeat Credit: May be repeated 2 time(s) when content or instructor differs and if student progression is required.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Domestic Diversity (DD); Visual Literacy (VL); World Cultures (WC).",DRA 144B.,Upper Division,DRA
DRA 145,Directed Choreography Projects,4,"Learning Activities: Lecture/Lab 6 hour(s), Rehearsal.
Repeat Credit: May be repeated 4 time(s) with consent of instructor.
Grade Mode: Letter.
General Education: Arts & Humanities (AH).",DRA 140A or DRA 140B or DRA 140C; or consent of instructor.,Upper Division,DRA
DRA 146A,Professional Track Modern Dance I,4,"Learning Activities: Lecture/Lab 6 hour(s).
Repeat Credit: May be repeated 2 time(s).
Grade Mode: Letter.
General Education: Visual Literacy (VL).",Consent of instructor.,Upper Division,DRA
DRA 146B,Professional Track Modern Dance II,4,"Learning Activities: Lecture/Lab 6 hour(s).
Repeat Credit: May be repeated 1 time(s).
Grade Mode: Letter.
General Education: Visual Literacy (VL).",DRA 146A; and consent of instructor.,Upper Division,DRA
DRA 146C,Professional Track Modern Dance III,4,"Learning Activities: Lecture/Lab 6 hour(s).
Repeat Credit: May be repeated 1 time(s).
Grade Mode: Letter.
General Education: Visual Literacy (VL).",DRA 146A; DRA 146B; and consent of instructor.,Upper Division,DRA
DRA 150,American Theatre & Drama,4,"Learning Activities: Lecture 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); American Cultures, Governance, & History (ACGH); Domestic Diversity (DD); Visual Literacy (VL); Writing Experience (WE).",N/A,Upper Division,DRA
DRA 151,"Musicals: History, Practice & Production",4,"Learning Activities: Lecture/Lab 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Domestic Diversity (DD).",Consent of instructor; DRA 021A or previous experience in theatre performance recommended.,Upper Division,DRA
DRA 151S,Australian Performance & Culture,4,"Learning Activities: Lecture/Discussion 2 hour(s), Seminar 2 hour(s).
Grade Mode: Letter.

DRA 151S — Australian Performance & Culture (4 units)
Course Description:  Australian performance and theatre practices as a product of its culture of origin. Relationships between art and society.

Learning Activities:  Lecture/Discussion 2 hour(s), Seminar 2 hour(s).

Grade Mode:  Letter.
This course version is effective from, and including:  Fall Quarter 2024.",N/A,Upper Division,DRA
DRA 153,Latinx Theatre & Performance,4,"Learning Activities: Lecture/Lab 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Domestic Diversity (DD); Writing Experience (WE).",N/A,Upper Division,DRA
DRA 154,Asian Theatre & Drama: Contexts & Forms,4,"Learning Activities: Lecture/Discussion 4 hour(s).
Grade Mode: Letter.
General Education: Arts & Humanities (AH); World Cultures (WC); Writing Experience (WE).",N/A,Upper Division,DRA
DRA 155,Representing Race in Performance,4,"Learning Activities: Lecture 4 hour(s).
Repeat Credit: May be repeated 1 time(s) when topic differs.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Domestic Diversity (DD); Writing Experience (WE).",N/A,Upper Division,DRA
DRA 155A,"African American Dance & Culture in the United States, Brazil & the Caribbean",4,"Learning Activities: Lecture/Discussion 4 hour(s).
Cross Listing: AAS 155A.
Grade Mode: Letter.
General Education: Arts & Humanities (AH); Visual Literacy (VL); World Cultures (WC).",N/A,Upper Division,DRA
